дата,число,месяц,год,время,часы,S1CO2,S2CO2,S3CO2,S4CO2,S5CO2,S6CO2,S7CO2,S8CO2
28/11/11 14:30,28,11,2011,2:30:00 PM,14.5,394.290009,393.529999,392.429993,395.149994,408.149994,420.600006,438.799988,453.549988
28/11/11 14:59,28,11,2011,3:00:00 PM,15.0,393.709991,393.059998,392.410004,397.649994,416.839996,425.970001,438.869995,452.690002
28/11/11 15:29,28,11,2011,3:30:00 PM,15.5,394.970001,393.75,393.290009,393.339996,410.690002,429.440002,446.059998,459.720001
28/11/11 15:59,28,11,2011,4:00:00 PM,16.0,395.720001,394.48999,394.410004,397.309998,413.809998,432.540009,445.920013,459.440002
28/11/11 16:29,28,11,2011,4:30:00 PM,16.5,396.970001,395.459991,394.790009,399.790009,426.149994,435.160004,449.25,459.109985
28/11/11 16:59,28,11,2011,5:00:00 PM,17.0,397.380005,395.549988,395.649994,422.589996,457.149994,473.329987,481.48999,487.329987
28/11/11 17:29,28,11,2011,5:30:00 PM,17.5,399,398.420013,408.790009,416.420013,425.679993,435.570007,449.230011,458.170013
28/11/11 17:59,28,11,2011,6:00:00 PM,18.0,399.549988,401.329987,448.26001,438.059998,434.76001,434.100006,438.040009,439.619995
28/11/11 18:29,28,11,2011,6:30:00 PM,18.5,404.23999,408.329987,434.480011,439.920013,437.399994,440.429993,442.369995,443.209991
28/11/11 18:59,28,11,2011,7:00:00 PM,19.0,405.26001,412.079987,444.51001,451.48999,452.369995,456.429993,456.51001,457.269989
28/11/11 19:29,28,11,2011,7:30:00 PM,19.5,406.779999,417.059998,454.149994,462.959991,463.619995,464.570007,465.899994,466.899994
28/11/11 19:59,28,11,2011,8:00:00 PM,20.0,425.890015,440.579987,447.839996,457.890015,478.679993,489.959991,496.179993,501.76001
28/11/11 20:29,28,11,2011,8:30:00 PM,20.5,431.980011,439.959991,452.329987,463.220001,464.880005,466.660004,469.25,471.040009
28/11/11 20:59,28,11,2011,9:00:00 PM,21.0,436.299988,447.420013,460,473.910004,478.350006,484.880005,488.23999,491.369995
28/11/11 21:29,28,11,2011,9:30:00 PM,21.5,425.869995,450.25,469.470001,478.480011,480.700012,480.76001,481.850006,484.609985
28/11/11 21:59,28,11,2011,10:00:00 PM,22.0,445.290009,463.410004,473.459991,476.940002,482,479.179993,481.079987,482.230011
28/11/11 22:29,28,11,2011,10:30:00 PM,22.5,445.410004,466.5,473.799988,477.950012,482,483.279999,484.619995,486.290009
28/11/11 22:59,28,11,2011,11:00:00 PM,23.0,447.48999,467.75,476.790009,482.359985,487.070007,487.640015,488.440002,490.320007
28/11/11 23:29,28,11,2011,11:30:00 PM,23.5,437.339996,453.190002,459.839996,469.649994,475.380005,472.690002,474.019989,474.910004
28/11/11 23:59,28,11,2011,12:00:00 AM,0.0,454.559998,462.200012,468.75,474.100006,476.350006,478.450012,478.540009,479.929993
29/11/11 0:29,29,11,2011,12:30:00 AM,0.5,443.119995,455.230011,463.070007,469.890015,471.859985,471.640015,472.320007,473.589996
29/11/11 0:59,29,11,2011,1:00:00 AM,1.0,440.799988,454.179993,462.920013,470.23999,473.230011,474.660004,475.640015,477.26001
29/11/11 1:29,29,11,2011,1:30:00 AM,1.5,453.670013,459.910004,467.299988,475.040009,477.589996,479.179993,480.01001,481.540009
