,значение
2018-01-31,102.48357076505616
2018-02-28,108.53423026462669
2018-03-31,124.22411692802133
2018-04-30,126.42894828792554
2018-05-31,121.33463982518981
2018-06-30,117.6864666894109
2018-07-31,107.18932937915423
2018-08-31,95.34156190999727
2018-09-30,84.08737502896851
2018-10-31,82.10135796717853
2018-11-30,77.01833442882007
2018-12-31,86.20342351181317
2019-01-31,96.78127273165458
2019-02-28,100.8515413240168
2019-03-31,101.55729808522622
2019-04-30,114.29529852037093
2019-05-31,106.5380221195881
2019-06-30,104.98629062945285
2019-07-31,95.9392774805041
2019-08-31,76.87234463614449
2019-09-30,84.49872373284764
2019-10-31,84.11957564631561
2019-11-30,79.36782844408366
2019-12-31,82.15060460572546
2020-01-31,94.74562420341526
2020-02-29,110.03387875270032
2020-03-31,107.28558645181499
2020-04-30,113.29000957476569
2020-05-31,113.87704589807402
2020-06-30,107.99179471844357
2020-07-31,96.32577834064494
2020-08-31,98.17968590819564
2020-09-30,84.34118388163009
2020-10-31,76.49116556403638
2020-11-30,86.08367559315514
2020-12-31,83.17446168278607
2021-01-31,103.52560058768248
2021-02-28,102.58794186860271
2021-03-31,102.27573999132781
2021-04-30,115.93314024697793
2021-05-31,116.19752049703371
2021-06-30,112.94596130610093
2021-07-31,104.33688196748827
2021-08-31,87.15153013165404
2021-09-30,76.72381680649177
2021-10-31,74.4525655456379
2021-11-30,79.38757350799284
2021-12-31,98.65104335777912
2022-01-31,103.79944591713335
2022-02-28,100.11698971608797
2022-03-31,111.89354584264598
2022-04-30,113.78656655823687
2022-05-31,111.48764388934585
2022-06-30,111.57878092936573
2022-07-31,106.60446505949906
2022-08-31,100.12065000417304
2022-09-30,82.9619141767982
2022-10-31,82.57571788126639
2022-11-30,83.95172622460893
2022-12-31,103.17905405075147
2023-01-31,104.55765195444752
2023-02-28,107.17958189103152
2023-03-31,107.39869088434656
2023-04-30,111.53373192887909
2023-05-31,116.67203297110338
2023-06-30,118.51592915717377
2023-07-31,104.98978480134717
2023-08-31,96.68882735507756
2023-09-30,85.12244498941897
2023-10-31,73.9921853270073
2023-11-30,81.43298326709818
2023-12-31,100.58571510904262
2024-01-31,105.4431010431982
2024-02-29,116.29371676060939
2024-03-31,108.53928479546693
2024-04-30,121.3315269158614
2024-05-31,115.46081272173664
2024-06-30,108.39321252937387
2024-07-31,100.13553708542572
2024-08-31,76.59691154747344
2024-09-30,76.6125385953029
2024-10-31,80.73410398997407
2024-11-30,93.18769284455394
2024-12-31,94.92197174208702
2025-01-31,93.16585546205644
2025-02-28,101.61305809071877
2025-03-31,120.43179975071422
2025-04-30,124.8537593461844
2025-05-31,118.10369234807274
2025-06-30,123.97589148402882
2025-07-31,106.6425946676035
2025-08-31,99.49495572979754
2025-09-30,85.8404694963826
2025-10-31,80.81294621078702
2025-11-30,79.35948098576749
2025-12-31,83.19536293524399
2026-01-31,95.4462968371243
2026-02-28,108.44012793874204
2026-03-31,115.59991119537072
2026-04-30,118.6101748128547
2026-05-31,116.66200658477585
2026-06-30,100.54008856021359
2026-07-31,95.69401502914856
2026-08-31,79.42598677733879
2026-09-30,75.82907359432751
2026-10-31,82.87077817149193
2026-11-30,93.29764955482105
2026-12-31,92.42013776553352
2027-01-31,100.9696305667653
2027-02-28,113.06554632697993
2027-03-31,106.98245328733837
2027-04-30,115.4801799893343
2027-05-31,115.69725447029609
2027-06-30,119.42503324765845
2027-07-31,110.55299694850646
2027-08-31,97.69284595570262
2027-09-30,78.93180204007633
2027-10-31,73.77194980604465
2027-11-30,84.09366308073773
2027-12-31,97.33721818325051
